gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
YOR390W		-0.6101	-0.6207	-0.5797	-0.5014	-0.3672	-0.2021	-0.08596	-0.05322	-0.06503	-0.09116	-0.1399	-0.2122	-0.2667	-0.2794	-0.2582	-0.2096	-0.1262	-0.03328	0.01356	-0.01421	-0.08334	-0.1567	-0.2208	-0.2815	-0.3307
YOR391C		-0.1478	-0.09634	-0.0589	-0.03457	-0.03267	-0.04829	-0.05913	-0.04986	-0.02907	-0.01031	0.002686	0.01229	0.01399	0.007577	-0.004302	-0.02185	-0.0438	-0.06517	-0.08064	-0.08767	-0.09073	-0.09497	-0.1013	-0.1061	-0.1074
YOR392W		-0.2303	-0.1974	-0.1543	-0.1076	-0.05446	-0.003714	0.02004	0.003814	-0.03589	-0.07936	-0.1271	-0.1724	-0.1844	-0.1381	-0.06102	-0.0009109	0.01853	0.01308	-0.005908	-0.03531	-0.0711	-0.1006	-0.1197	-0.1322	-0.1375
YOR393W	ERR1	-0.4385	-0.2995	-0.1907	-0.1125	-0.08407	-0.0997	-0.1221	-0.1285	-0.1259	-0.1223	-0.1168	-0.1028	-0.07921	-0.04405	-0.01029	0.0008997	-0.02763	-0.07157	-0.08985	-0.05884	-0.00734	0.02702	0.03257	0.01899	-0.0193
YOR394W		-0.1055	-0.06623	-0.03372	-0.01247	-0.005273	-0.01423	-0.04282	-0.09352	-0.1515	-0.1944	-0.2192	-0.2312	-0.2207	-0.1745	-0.1142	-0.08189	-0.0955	-0.1375	-0.1966	-0.2813	-0.3798	-0.4495	-0.4767	-0.4706	-0.4228
YPL001W	HAT1	0.1328	0.1178	0.09213	0.05896	0.004029	-0.06408	-0.108	-0.1046	-0.06789	-0.01632	0.04977	0.122	0.1696	0.1827	0.175	0.1514	0.113	0.06901	0.03631	0.02103	0.01621	0.01906	0.02828	0.04616	0.0753
YPL002C	SNF8	0.4218	0.3464	0.2673	0.1935	0.1319	0.08986	0.07765	0.09519	0.1234	0.1441	0.157	0.1699	0.1766	0.1661	0.1426	0.1226	0.119	0.1245	0.1257	0.1124	0.09664	0.09784	0.1219	0.1645	0.23
YPL003W	ULA1	0.3979	0.361	0.3025	0.2305	0.1383	0.03984	-0.02585	-0.04697	-0.04109	-0.01328	0.05406	0.1494	0.224	0.2456	0.2277	0.1905	0.1367	0.0822	0.06672	0.1078	0.1742	0.2328	0.2754	0.3144	0.3474
YPL004C		0.2284	0.2737	0.259	0.1958	0.05832	-0.1268	-0.2699	-0.339	-0.3573	-0.3178	-0.18	0.0258	0.2006	0.2863	0.2998	0.2543	0.1693	0.06835	-0.0286	-0.1411	-0.246	-0.2595	-0.1578	0.03679	0.339
YPL005W		0.3166	0.2443	0.1757	0.1115	0.05098	-0.00136	-0.03699	-0.06307	-0.08676	-0.09957	-0.08719	-0.05144	-0.008045	0.02906	0.0509	0.0492	0.02805	0.005314	-0.006632	-0.0119	-0.0177	-0.01628	-0.003669	0.02216	0.06601
